district,rooftopsNearby,closestRooftop,featuresCount,area
大同區B0710,1,3.49848738393156e-06,45,2.253018041212334e-07
大同區B0754,0,4.6983287625067434e-05,7,-0.9999999378711897
大同區B0757,1,1.1971007629878537e-05,32,2.4143956484628584e-07
大同區B0776,0,3.806009583518961e-05,23,-0.9999998756446037
大同區B0786,0,2.2955928759625224e-05,13,-0.9999999285685772
大同區B0792,0,2.2072173828655376e-05,73,3.683086247095403e-07
大同區B0816,1,1.1117370027600388e-05,13,1.0011473006459774e-07
大同區B0818,0,1.738586203110097e-05,52,-1.9999997900709445
大同區B0842,1,9.351835180982836e-06,43,3.179509581160286e-07
大同區B0862,0,1.3575537079470264e-05,12,1.5931962892481416e-07
大同區B0870,1,1.194490427165762e-05,5,5.957076343527155e-08
大同區B0899,0,1.2924300636161294e-05,27,-0.999999731287821
大同區B0949,1,3.6690845094825222e-06,34,2.9238228863263786e-07
大同區B0985,1,8.076957975538172e-06,32,-1.9999998574628863
大同區B0990,0,1.9205993374581483e-05,22,1.2649790254751335e-07
大同區B1011,1,1.0253046606697199e-05,20,-0.9999998058277514
大同區B1015,0,1.2588911036411252e-05,17,8.50508230693308e-08
大同區B1029,0,1.2924300636161294e-05,27,-0.999999731287821
大同區B1062,0,1.2707566634340217e-05,12,7.595524210269875e-08
大同區B1081,0,1.3379998037276373e-05,38,2.184218014343977e-07
大同區B1104,0,1.2582090352228665e-05,19,-0.9999999043807942
大安區B0492,3,2.5472309933795267e-06,12,2.0810426884173636e-07
大安區B0504,0,2.8257251821105188e-05,33,2.909070046810722e-07
大安區B0582,1,8.889947242596424e-06,12,2.386780749867545e-07
大安區B0602,1,4.214168585715229e-06,33,8.669750874056951e-08
大安區B0610,0,2.99478802178551e-05,19,2.4880293642125295e-07
大安區B0636,3,7.779099836458788e-07,16,2.49893528718552e-07
大安區B0638,1,8.61984440799481e-06,15,1.5450550076936596e-07
大安區B0651,2,7.964285623974793e-06,9,2.1386013770483764e-07
大安區B0656,2,8.051892482991434e-06,2,9.783359647029881e-08
大安區B0667,7,1.9824560527232563e-06,26,1.921151203801904e-07
大安區B0672,1,3.6230420500557074e-07,4,6.123816795798625e-08
大安區B0673,1,2.9078949133275233e-06,7,1.1296155960850491e-07
大安區B0674,3,1.1221218376252293e-06,2,1.4228570013197086e-07
大安區B0692,4,1.7549944172478265e-06,9,1.3547292491840212e-07
大安區B0695,0,2.0647212091091265e-05,11,5.1188057746031776e-08
大安區B0700,1,8.910267518126039e-07,21,3.6558968189088616e-07
大安區B0701,0,1.6236827447925165e-05,11,2.530432974975733e-07
大安區B0702,2,4.43378239966456e-06,12,3.386258166282284e-07
大安區B0708,1,3.849754130082285e-06,17,2.516496337098144e-07
大安區B0723,5,1.1416623646595141e-06,20,2.8225134120543553e-07
大安區B0729,0,3.278189280582104e-05,14,2.1284303397070424e-07
大安區B0733,1,1.0035624581108304e-05,4,6.061902339132611e-08
大安區B0745,4,1.8035593187102731e-06,7,7.696973200889651e-08
大安區B0753,2,1.4544717648995054e-06,6,1.8460163672314157e-07
大安區B0760,1,6.565877681665496e-06,7,3.529309743958003e-07
大安區B0766,0,1.6427063088449138e-05,10,1.6932037303997817e-07
大安區B0769,0,2.0859566879455505e-05,31,2.0484152165557535e-07
大安區B0778,1,5.849684906200372e-06,16,1.180844181966729e-07
大安區B0787,0,1.9608186524265474e-05,3,6.023858979927467e-08
大安區B0790,2,8.438784953375565e-06,26,-3.9999997788216133
大安區B0796,4,4.341853379612282e-06,1,9.776774488942045e-08
大安區B0797,3,1.6599499992207497e-06,11,1.819841232349567e-07
大安區B0819,7,1.5468051090605942e-06,8,9.490447382389558e-08
大安區B0825,2,2.3648690722618228e-07,11,1.5974072199503816e-07
大安區B0826,2,2.577458150364885e-06,23,5.725213499244986e-08
大安區B0828,1,2.2726716753355556e-06,25,2.206923261880941e-07
大安區B0845,4,3.366366228052201e-06,16,1.7161788468158245e-07
大安區B0858,6,5.415444477054073e-06,4,1.0300489061844745e-07
大安區B0864,8,1.0929054890440423e-07,4,1.9974737699486183e-07
大安區B0880,0,2.552366127690447e-05,18,2.3174798534909588e-07
大安區B0886,5,3.673611155724147e-06,19,4.310154357251686e-07
大安區B0922,3,5.371052880886157e-07,22,1.8444835660724846e-07
大安區B0923,1,1.1657188939194974e-06,1,1.067182520989731e-07
大安區B0936,4,1.373206857943576e-06,1,3.2689805558330943e-07
大安區B0941,1,5.87116626729276e-06,1,4.1047348997386935e-07
大安區B0944,1,5.87116626729276e-06,1,4.1047348997386935e-07
大安區B0948,1,4.4721184069813456e-07,8,6.01265070973937e-08
大安區B0961,3,3.2037123461606966e-06,25,2.613258232834701e-07
大安區B0969,2,4.911572280183367e-07,9,1.0843329980278817e-07
大安區B0986,4,1.4518751833581589e-06,3,-0.9999998550278446
大安區B0996,5,2.2247487847999075e-07,16,2.8496045682843855e-07
大安區B1001,6,3.998683620295426e-08,15,1.9961621199863835e-07
大安區B1010,0,1.8031901164606713e-05,7,1.9564040081843832e-07
大安區B1012,5,2.319080718689202e-06,6,2.2923370602490382e-07
大安區B1014,0,2.84750266186852e-05,5,2.7017287166113566e-07
大安區B1016,0,1.7491481536637732e-05,19,2.853129206451992e-07
大安區B1017,3,2.4803450368921744e-06,3,1.0611632932243084e-07
大安區B1018,0,1.7184971857511734e-05,3,1.1006883633054101e-07
大安區B1019,3,1.1221218376252293e-06,2,1.4228570013197086e-07
大安區B1027,6,5.415444477054073e-06,4,1.0300489061844745e-07
大安區B1032,0,2.987086499208486e-05,20,2.629548686463059e-07
大安區B1039,4,1.7844589825515223e-06,27,1.7343362469729296e-07
大安區B1053,0,3.288681532461439e-05,32,1.7980314886836592e-07
大安區B1058,1,5.425210165561484e-06,34,3.4915021018168925e-07
大安區B1059,3,2.393170872824855e-06,31,-5.9999997745738005
大安區B1066,4,1.433285689842978e-06,6,6.430740369164794e-08
大安區B1072,4,2.0832313781399284e-07,15,-0.9999998839639667
大安區B1079,5,4.19064658947632e-07,1,1.9349911735173825e-07
大安區B1083,4,4.341853379612282e-06,1,9.776774488942045e-08
大安區B1096,3,5.371052880886157e-07,22,1.8444835660724846e-07
大安區B1099,6,2.372167594209263e-07,4,1.8580625883345255e-07
大安區B1102,2,1.7502840183278348e-06,9,3.9264297611182306e-07
松山區B0556,4,1.5090579827931169e-06,11,1.7023047697061266e-07
松山區B0557,1,3.6614826366417957e-06,1,8.23356909911042e-08
松山區B0641,2,1.1625556804650316e-05,17,1.863934253226675e-07
松山區B0646,3,3.443391345586715e-06,17,1.968792127503799e-07
松山區B0647,2,7.69787408037849e-06,10,3.3339939352600214e-07
松山區B0659,3,3.3312058870961376e-08,50,3.337388974835923e-07
松山區B0716,1,7.816797089841535e-06,16,4.195078645225823e-07
松山區B0722,2,9.245943385879655e-07,23,2.13336310191597e-07
松山區B0736,1,3.065126147631318e-07,26,4.471837877507771e-07
松山區B0744,3,2.796554727698318e-06,9,6.835682981428587e-08
松山區B0784,1,5.022638418840771e-06,1,4.278808638259245e-07
松山區B0794,3,3.934259289889608e-06,25,3.305548772993984e-07
松山區B0798,6,2.7151516443947025e-07,35,2.665997095481721e-07
松山區B0811,1,3.3817075084358715e-07,26,3.609926435761459e-07
松山區B0822,4,1.1086599771212371e-06,6,1.3560096462551554e-07
松山區B0833,4,4.482379590467721e-06,1,1.7789388918919567e-07
松山區B0835,3,3.5044716205489418e-06,4,1.0598923580924702e-07
松山區B0854,2,1.0840362801087938e-06,14,2.7845032894661293e-07
松山區B0859,4,1.5670569149757053e-06,9,1.5055282780049576e-07
松山區B0873,3,4.4239556276220687e-07,10,2.8313516902108824e-07
松山區B0874,3,4.595922795079822e-06,10,1.7994465569644754e-07
