district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018
內湖區B0814,5,61.25656931068117,30,4106.80773063277,0,0,0,5758145,5668145
內湖區B0823,3,135.00840044944016,9,2630.905914141307,0,0,0,3261160,3204066
內湖區B0853,1,190.2055225398006,22,1932.1258120577206,0,0,0,4882142,4790675
內湖區B0893,0,328.3410921852144,7,1025.4440870345031,0,0,0,1299646,1456532
內湖區B0906,1,261.4771641022136,3,3255.1879055848003,0,0,0,516000,507000
內湖區B0911,0,790.502750553638,11,2033.6782401837409,0,0,0,4510000,4422000
內湖區B0931,0,310.08951958510085,1,1107.5729101527277,0,0,0,166000,162000
內湖區B0963,0,397.8602139458105,17,3055.003988719493,0,0,0,4012692,4043340
內湖區B0970,0,375.7385952217397,1,1406.5747906527438,0,0,0,166000,162000
內湖區B0993,1,190.63916590889556,1,1205.9921744194326,0,0,0,217000,214000
內湖區B1006,0,379.58379689804224,1,385.1027683029756,0,0,0,197000,194000
內湖區B1051,0,379.58379689804224,1,385.1027683029756,0,0,0,197000,194000
內湖區B1711,0,569.5524233009497,12,1265.8626355091196,0,0,0,1908000,1872000
士林區B0482,0,478.2877568308059,23,1610.8713170376864,0,0,0,7475000,7291000
士林區B0483,0,475.11577721882446,6,1180.5683650551855,0,0,0,1986000,1956000
士林區B0496,1,275.03263454840214,15,1644.0763258937275,0,0,0,4434983,4457354
士林區B0499,1,290.5875348691823,12,2473.394974707836,0,0,0,4384753,4278964
士林區B0529,0,458.3260739657511,1,916.3540922015857,0,0,0,437000,475000
士林區B0530,0,857.8461098876843,18,2838.7512792175794,0,0,0,4924864,4821675
士林區B0583,2,127.06548450908305,5,1667.9402007537842,0,0,0,1480000,1450000
士林區B0588,1,231.36552888761952,24,3235.1534809746913,0,0,0,5208000,5112000
士林區B0589,2,105.60540423962853,12,2101.0416703186047,0,0,0,3987000,3909000
士林區B0615,0,644.3068144385696,8,1847.6441548519958,0,0,0,2648000,2608000
士林區B0616,0,424.9773571136329,14,2032.3347921453799,0,0,0,4709813,4636369
士林區B0619,2,179.61610895452438,5,4641.862226494709,0,0,0,1486561,1457274
士林區B0626,0,479.53627799773386,3,2721.8063490025743,0,0,0,1419687,1390425
士林區B0631,2,146.91101682511626,6,1627.0288408044696,0,0,0,2079830,2047687
士林區B0640,0,476.072116205381,12,2034.1778854519605,0,0,0,4658986,4598248
士林區B0642,0,621.4687028026508,4,1505.0624013272072,0,0,0,1318883,1348706
