district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018,ndvi 2013,greeniness 2013,dmap 2013,ndvi 2014,greeniness 2014,dmap 2014,ndvi 2015,greeniness 2015,dmap 2015,ndvi 2017,greeniness 2017,dmap 2017,ndvi 2016,greeniness 2016,dmap 2016,date,year,e-year
大安區B0819,6,125.77473352269793,8,1070.2943680361225,0,0,0,2136000,2064000,0.16706858575344086,0.3878722858408937,0.18201832473278048,0.1698089838027954,0.38446486461272944,0.1876274049282074,0.13421647250652313,0.3689040744455069,0.13829559087753296,0.1955313980579376,0.4714578911770879,0.11693215370178225,0.16487392783164978,0.4201809828112975,0.1276138722896576,103.2.20,103,2014
大安區B0825,1,50.76959591756918,11,1801.3367494523654,0,0,0,4954586,4899586,0.23874571919441226,0.4077570725563822,0.21692748367786407,0.2405275553464889,0.4040907712759755,0.22048650681972504,0.5351120829582214,0.2599832077803951,0.4392658174037933,0.3532243371009827,0.2710031018961215,0.3202602863311768,0.4441682100296021,0.2654931548382583,0.37976306676864624,103.3.11,103,2014
大安區B0826,2,166.29859563889596,23,645.5430878046673,0,0,0,7498000,7268000,0.2928912937641144,0.30960654896564593,0.25689297914505005,0.2961308062076569,0.30455022506238777,0.2581360638141632,0.43053850531578064,0.10145299344636984,0.4470578730106354,0.3716048300266266,0.27015416190498404,0.2969027757644653,0.4010716676712036,0.18580357767567696,0.3719803094863892,103.3.11,103,2014
大安區B0828,1,152.84826597433238,25,2488.688685409671,0,0,0,10286580,10075676,0.24827995896339414,0.27558364624390697,0.13185857236385345,0.2526179552078247,0.2702871003101896,0.13538727164268494,0.3165450096130371,0.2307390908878886,0.19801291823387146,0.18751777708530426,0.2445273689857033,0.1397835612297058,0.2520313858985901,0.23763322993679595,0.16889823973178866,103.3.21,103,2014
大安區B0845,2,187.9680587978481,16,1935.2260228471368,0,0,0,12942968,12774387,0.1904704123735428,0.3592695384471861,0.19237120449543,0.19271869957447046,0.3566784056720386,0.19032815098762512,0.43982088565826416,0.2674930615481494,0.4179653525352478,0.1902581751346588,0.17564661706742546,0.21968187391757965,0.3150395154953003,0.2215698393077874,0.31882360577583313,103.7.18,103,2014
大安區B0858,3,253.1527468959287,4,1161.4479135712386,0,0,0,3556504,3491100,0.12316393107175827,0.44259626373113786,0.1871562898159027,0.12596730887889862,0.4404296009515592,0.18816615641117096,0.3605476021766663,0.3163420948293957,0.2980362474918365,0.37761038541793823,0.14039694941343844,0.20011894404888156,0.3690789937973023,0.2283695221214171,0.24907758831977844,103.8.18,103,2014
大安區B0864,5,33.646062540300186,4,2252.259839360353,0,0,0,2082124,2036291,0.18638896942138672,0.2549175548662453,0.18525317311286926,0.20247451961040494,0.2337826806912797,0.189010426402092,0.27791357040405273,0.28592951932271377,0.28867223858833313,0.2865428924560547,0.21497306248105044,0.17830771207809448,0.2822282314300537,0.2504512909018821,0.2334899753332138,103.9.9,103,2014
大安區B0880,0,529.2718907740084,18,2613.2627605408484,0,0,0,11318250,11170595,0.1867901235818863,0.3355132122116753,0.13641579449176788,0.19046342372894287,0.32848613475756233,0.13704782724380493,0.2849826216697693,0.1905077314177764,0.2290971875190735,0.21223266422748568,0.12424143480187512,0.14223243296146393,0.2486076354980469,0.15737458310982574,0.1856648027896881,103.11.28,103,2014
大安區B0886,2,196.03029375666716,19,4860.326053354402,0,0,0,9139469,8888955,0.14152342081069946,0.4062597663082772,0.10845208168029784,0.14539963006973267,0.402210975581314,0.109594888985157,0.214278057217598,0.2511836182568743,0.16343261301517487,0.14897730946540833,0.21991977050633205,0.12374933063983914,0.1816276907920837,0.2355516943816032,0.14359097182750702,103.11.21,103,2014
大安區B0922,2,76.36839349792184,22,2080.0453444940467,0,0,0,8118000,7876000,0.28733354806900024,0.5510390185880543,0.26487627625465393,0.2899643182754517,0.5512978986402967,0.26575785875320435,0.2957226634025574,0.3708515054691327,0.27802085876464844,0.3441472053527832,0.364971896354689,0.23757025599479675,0.3199349343776703,0.3679117009119108,0.2577955722808838,104.4.23,104,2015
