idx,sec,addr,Address,Lat,Lng
171,大安區,和平東路三段228巷40號,大安區和平東路三段228巷40號,25.0214568,121.5538475
172,中山區,合江街127巷21號,中山區合江街127巷21號,25.0608011,121.5401372
173,信義區,信義路六段12巷43號,信義區信義路六段12巷43號,25.0322327,121.5752347
174,北投區,吉利街143號,北投區吉利街143號,25.1186736,121.5074548
175,松山區,八德路三段106巷29號,松山區八德路三段106巷29號,25.0470015,121.5542626
176,松山區,寶清街89巷5號,松山區寶清街89巷5號,25.0525051,121.568407
177,信義區,永吉路321巷28號,信義區永吉路321巷28號,25.046715,121.575648
178,中山區,林森北路112號,中山區林森北路112號,25.0511412,121.5249953
179,中山區,遼寧街76巷4號,中山區遼寧街76巷4號,25.0511062,121.5414833
180,北投區,泉源路華南巷18號,北投區泉源路華南巷18號,25.1403966,121.5071778
181,信義區,林口街24巷33號,信義區林口街24巷33號,25.0379614,121.5805229
182,松山區,新東街51巷1號,松山區新東街51巷1號,25.0615798,121.5650465
183,信義區,福德街221巷4弄5號,信義區福德街221巷4弄5號,25.0377063,121.5847707
184,文山區,溪洲街12號,文山區溪洲街12號,25.006502,121.535075
185,文山區,恆光街61巷15號,文山區恆光街61巷15號,24.9820706,121.5681495
186,信義區,福德街310巷5號,信義區福德街310巷5號,25.0396434,121.5873931
187,文山區,辛亥路五段89之1號,文山區辛亥路五段89之1號,24.9976695,121.5526529
188,大安區,新生南路一段137巷5之3號,大安區新生南路一段137巷5之3號,25.0371846,121.5332823
189,中正區,金山南路一段67巷15號,中正區金山南路一段67巷15號,25.037761,121.5291099
190,中山區,中山北路二段42巷10號,中山區中山北路二段42巷10號,25.0545635,121.5220242
191,文山區,萬盛街156巷1號,文山區萬盛街156巷1號,25.0052533,121.542725
192,文山區,溪口街85巷5號,文山區溪口街85巷5號,24.9953986,121.5385441
193,中正區,羅斯福路三段284巷13號,中正區羅斯福路三段284巷13號,25.016082,121.531671
194,信義區,吳興街284巷24弄84號,信義區吳興街284巷24弄84號,25.022718,121.561043
195,中正區,汀州路三段184號,中正區汀州路三段184號,25.0129378,121.5348803
196,中山區,吉林路343巷15號,中山區吉林路343巷15號,25.0644819,121.5310883
197,士林區,大南路376號,士林區大南路376號,25.0892815,121.5167681
198,松山區,八德路四段204巷7弄25號,松山區八德路四段204巷7弄25號,25.0483889,121.565195
199,文山區,指南路二段45巷10弄3號,文山區指南路二段45巷10弄3號,24.989132,121.575354
200,文山區,辛亥路七段5巷4弄16號,文山區辛亥路七段5巷4弄16號,24.986944,121.553274
201,信義區,松山路308號,信義區松山路308號,25.042612,121.577608
202,萬華區,西昌街29巷13號,萬華區西昌街29巷13號,25.0428241,121.5011169
203,文山區,木柵路二段86巷8號,文山區木柵路二段86巷8號,24.9882839,121.559931
204,文山區,興隆路三段259號,文山區興隆路三段259號,24.9924459,121.558881
205,信義區,虎林街120巷165號,信義區虎林街120巷165號,25.0422431,121.5742114
206,中山區,吉林路329巷20號,中山區吉林路329巷20號,25.0638482,121.531076
207,大安區,樂業街150號,大安區樂業街150號,25.0198979,121.5530286
208,松山區,八德路四段106巷8弄8號,松山區八德路四段106巷8弄8號,25.0471099,121.56074
209,信義區,虎林街120巷16號,信義區虎林街120巷16號,25.042048,121.576244
210,信義區,虎林街120巷18號,信義區虎林街120巷18號,25.042048,121.576191
211,中山區,遼寧街62巷7號,中山區遼寧街62巷7號,25.047461,121.542229
212,信義區,信義路五段150巷421弄13號,信義區信義路五段150巷421弄13號,25.0235379,121.571013
213,大安區,富陽街157巷13號,大安區富陽街157巷13號,25.0178568,121.5577353
214,中正區,羅斯福路四段40巷6弄6號,中正區羅斯福路四段40巷6弄6號,25.014799,121.533242
215,文山區,興隆路三段229巷8號,文山區興隆路三段229巷8號,24.992905,121.559562
216,文山區,景仁街38號,文山區景仁街38號,24.99787,121.539301
217,南港區,研究院路二段207號,南港區研究院路二段207號,25.0364565,121.6174426
218,萬華區,環河南路一段23號,萬華區環河南路一段23號,25.046835,121.5042303
219,萬華區,東園街73巷104號,萬華區東園街73巷104號,25.026402,121.4996417
220,中正區,中華路二段443巷33弄8號,中正區中華路二段443巷33弄8號,25.0251804,121.5097272
221,中正區,金山南路一段67巷15號,中正區金山南路一段67巷15號,25.037761,121.5291099
222,文山區,和興路7之1號,文山區和興路7之1號,24.9863148,121.5462378
223,信義區,永吉路278巷47弄16號,信義區永吉路278巷47弄16號,25.0436897,121.5747239
224,文山區,景興路23巷6弄3號,文山區景興路23巷6弄3號,24.997668,121.545416
225,中正區,汀州路一段273號,中正區汀州路一段273號,25.0264312,121.5135336
226,信義區,吳興街281巷53號,信義區吳興街281巷53號,25.026625,121.565603
227,文山區,木柵路一段51之1號,文山區木柵路一段51之1號,24.987263,121.545403
228,文山區,試院路144巷2弄4號,文山區試院路144巷2弄4號,24.990236,121.5475212
229,士林區,承德路四段58巷55號,士林區承德路四段58巷55號,25.0822072,121.5210692
230,士林區,承德路四段80巷53之1號,士林區承德路四段80巷53之1號,25.0828252,121.5216464
231,士林區,芝玉路一段210號,士林區芝玉路一段210號,25.1084615,121.5336002
232,北投區,文林北路98號,北投區文林北路98號,25.10564,121.517646
233,中山區,合江街130巷13號,中山區合江街130巷13號,25.0595913,121.5384503
234,士林區,光華路26巷16號,士林區光華路26巷16號,25.1372786,121.5414634
235,北投區,西安街二段187號,北投區西安街二段187號,25.1195293,121.5111337
236,文山區,溪洲街23巷26號,文山區溪洲街23巷26號,25.0052189,121.535115
